Rinodina peloleuca,2,14,4,5,3,1,2,0,8,0,0,0,3,0,2,14
sponge metagenome,17,0,9,2,2,0,0,0,1,1,1,0,1,0,1,0
mixed sample,48,0,9,1,0,0,2,2,0,1,0,0,0,0,0,0
lung metagenome,27,0,30,15,3,0,0,0,0,0,0,1,0,0,1,0
human metagenome,1569,0,327,107,46,0,0,0,0,0,1,3,2,10,17,0
environmental samples,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
poultry litter metagenome,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hydrothermal vent metagenome,23,1,23,12,13,4,4,2,0,3,3,2,5,4,4,0
brine metagenome,2,0,0,0,2,1,0,3,0,1,2,0,0,1,1,0
bovine gut metagenome,391,41,160,99,91,82,57,58,21,56,62,99,55,82,87,43
alkali sediment metagenome,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
salt pan metagenome,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0
Fibrobacteria,1,0,1,0,0,1,0,2,0,0,1,3,0,1,0,0
Rikenellaceae bacterium,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Globobulimina pacifica,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Cervus nippon,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0
African swine fever virus,12,1,7,0,5,1,0,0,0,3,2,1,2,1,5,8
human nasopharyngeal metagenome,7,0,5,18,43,0,0,0,0,0,0,0,0,1,9,0
mixed culture metagenome,4,1,2,2,1,0,0,1,1,1,2,1,1,2,0,3
Streptococcaceae,10,0,2,3,1,1,1,2,0,0,1,0,0,2,1,0
human gut metagenome,15634,3,3689,1760,903,10,12,6,4,21,50,175,7,347,532,22
hypersaline lake metagenome,4,0,4,5,3,0,0,0,0,0,0,0,0,0,2,0
plastisphere metagenome,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0
termite gut metagenome,10,4,10,9,5,3,2,5,3,1,6,7,5,4,12,3
Balaenoptera acutorostrata,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
pig gut metagenome,81,810,86,76,88,116,167,124,347,120,94,100,271,81,80,3733
oral metagenome,29,0,6,35,49,0,0,0,0,0,0,0,0,3,7,0
wildlife metagenome,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
freshwater sediment metagenome,182,7,75,62,38,11,19,10,4,10,10,13,6,17,28,8
Delftia acidovorans,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
permafrost metagenome,13,1,7,16,12,3,0,1,1,1,0,2,1,6,5,1
invertebrate metagenome,10,0,7,0,4,1,1,0,1,2,3,2,2,1,0,1
Candidatus Liberibacter asiaticus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
epibiont metagenome,2,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0
activated sludge metagenome,158,3,70,30,13,2,1,0,3,2,4,3,1,6,9,21
Dama dama,6,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
hypolithon metagenome,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
fish metagenome,7,0,0,0,1,0,1,0,0,3,1,0,2,1,0,0
leaf litter metagenome,26,0,10,19,15,0,0,0,0,0,1,0,0,2,12,0
cave metagenome,11,0,2,1,0,1,0,0,0,0,0,0,0,0,1,1
aquatic viral metagenome,0,0,1,0,0,2,4,4,0,5,1,1,0,1,0,0
uncultured human fecal virus,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0
subsurface metagenome,9,2,7,3,2,3,1,1,1,1,2,2,1,2,4,0
Brevundimonas sp. NIBR10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bovine metagenome,223,10,126,90,72,13,17,11,13,20,24,48,25,44,95,0
vaginal metagenome,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nervous system metagenome,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hospital metagenome,7,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0
