acc,bioproject,organism,count,broad_cat,mbases,host,project_name,manual_annot,is_pig_assoc
SRR29660184,PRJNA1128034,rhizosphere metagenome,15,other,84486,"[""Triticum aestivum cv. Gallant""]",,(unnanotated),""
SRR10143162,PRJNA1007388,wetland metagenome,16,other,70900,,,(unnanotated),""
SRR24204745,PRJNA956287,outdoor metagenome,11,other,22055,"[""not applicable""]",,(unnanotated),""
SRR10360644,PRJNA577476,soil metagenome,10,other,42212,,,(unnanotated),""
SRR7614714,PRJNA481090,marine sediment metagenome,12,other,27210,,,(unnanotated),""
SRR24963225,PRJNA984925,bovine metagenome,8,other,13125,"[""Bos taurus""]",,(unnanotated),""
ERR9963787,PRJEB54621,moss metagenome,8,other,77710,,"[""Peat moss microbial communities from sphagnum bogs in various regions of Europe""]",(unnanotated),""
ERR12084932,PRJNA429141,lake water metagenome,8,other,49461,,"[""PRJNA429141""]",(unnanotated),""
SRR8925811,PRJNA681092,bioreactor metagenome,16,other,18169,"[""anaerobic digestor""]",,(unnanotated),""
SRR26459411,PRJNA1028263,soil metagenome,9,other,18035,,,(unnanotated),""
SRR25638215,PRJNA1005211,soil metagenome,12,other,39862,"[""soil""]",,(unnanotated),""
SRR6942528,PRJNA444435,soil metagenome,14,other,121539,"[""not applicable""]",,(unnanotated),""
SRR21856590,PRJNA889212,marine sediment metagenome,16,other,75208,,,(unnanotated),""
SRR3053204,PRJNA292471,bovine metagenome,11,other,5696,"[""Bos taurus""]",,(unnanotated),""
DRR495436,PRJDB16217,Rickettsia endosymbiont of Nesidiocoris tenuis,13,other,29588,,,(unnanotated),""
SRR15927520,PRJNA763043,estuary metagenome,16,other,134803,"[""missing""]",,(unnanotated),""
SRR22013518,PRJNA892010,compost metagenome,12,other,10276,,,(unnanotated),""
ERR4674708,PRJEB40764,marine metagenome,8,other,28805,,"[""Ocean Sampling Day""]",(unnanotated),""
SRR15377929,PRJNA714922,soil metagenome,10,other,54265,,,(unnanotated),""
ERR4682377,PRJEB40815,wastewater metagenome,9,other,12695,,,(unnanotated),""
SRR12687280,PRJNA654272,freshwater metagenome,11,other,64557,"[""not applicable""]",,(unnanotated),""
SRR26457746,PRJNA1029132,soil metagenome,9,other,52868,"[""not applicable""]",,(unnanotated),""
SRR3181132,PRJNA309291,bovine gut metagenome,10,other,12858,"[""Bos taurus""]",,(unnanotated),""
SRR9045817,PRJNA539523,sediment metagenome,15,other,39937,"[""not applicable""]",,(unnanotated),""
SRR13038212,PRJNA670906,sediment metagenome,14,other,75015,,,(unnanotated),""
SRR22048035,PRJNA894374,sediment metagenome,14,other,20165,,,(unnanotated),""
SRR3989284,PRJNA330353,rhizosphere metagenome,11,other,49309,"[""not applicable""]",,(unnanotated),""
SRR26457750,PRJNA1029084,soil metagenome,11,other,40606,"[""not applicable""]",,(unnanotated),""
SRR29517095,PRJNA1125719,bovine gut metagenome,9,other,13314,"[""Bos taurus""]",,(unnanotated),""
SRR6476469,PRJNA405205,soil metagenome,9,other,32120,"[""not applicable""]",,(unnanotated),""
SRR30201810,PRJNA1146790,anaerobic digester metagenome,16,other,12070,"[""Sus scrofa""]",,(unnanotated),""
SRR8879130,PRJNA531771,wetland metagenome,15,other,67574,"[""not applicable""]",,(unnanotated),""
SRR14906797,PRJNA741207,aquatic metagenome,12,other,16597,,,(unnanotated),""
SRR12550823,PRJNA632564,soil metagenome,9,other,17955,"[""not applicable""]",,(unnanotated),""
SRR3053181,PRJNA292471,bovine metagenome,12,other,4180,"[""Bos taurus""]",,(unnanotated),""
SRR22048037,PRJNA894374,sediment metagenome,12,other,19986,,,(unnanotated),""
SRR12953108,PRJNA650766,wetland metagenome,11,other,37988,"[""not applicable""]",,(unnanotated),""
SRR24579378,PRJNA972502,soil metagenome,10,other,30020,,,(unnanotated),""
SRR5271170,PRJNA365853,soil metagenome,8,other,22724,"[""not applicable""]",,(unnanotated),""
SRR26589679,PRJNA1033318,soil metagenome,12,other,64195,,,(unnanotated),""
SRR12358624,PRJNA649861,mouse gut metagenome,12,other,46569,"[""BALB/c""]",,(unnanotated),""
SRR16608037,PRJNA775848,soil metagenome,8,other,26131,,,(unnanotated),""
SRR6057436,PRJNA405476,subsurface metagenome,8,other,31300,"[""not applicable""]",,(unnanotated),""
SRR14710919,PRJNA732531,termite gut metagenome,11,other,40441,"[""Hodotermopsis sjostedti""]",,(unnanotated),""
SRR29483051,PRJNA1125628,rhizosphere metagenome,12,other,83196,"[""Secale cereale""]",,(unnanotated),""
SRR7080723,PRJNA441838,marine metagenome,12,other,30120,"[""not applicable""]",,(unnanotated),""
SRR5817585,PRJNA338276,wetland metagenome,13,other,19716,,,(unnanotated),""
ERR1333182,PRJEB13118,sediment metagenome,10,other,5675,,"[""microbial diversity and function""]",(unnanotated),""
SRR31012009,PRJNA1173490,mangrove metagenome,16,other,70274,"[""Avicennia alba""]",,(unnanotated),""
DRR333407,PRJDB12736,lake water metagenome,11,other,19695,,"[""Ecogenomics of the microbial community in the water column of Lake Biwa (2018-2019)""]",Lake Biwa,0
SRR24956053,PRJNA984925,bovine metagenome,8,other,8850,"[""Bos taurus""]",,(unnanotated),""
SRR8556220,PRJNA518542,peat metagenome,14,other,81918,"[""not applicable""]",,(unnanotated),""
SRR24269688,PRJNA957232,sediment metagenome,9,other,23445,,,(unnanotated),""
SRR24887481,PRJNA972115,soil metagenome,9,other,35509,"[""not applicable""]",,(unnanotated),""
DRR333388,PRJDB12736,lake water metagenome,12,other,21233,,"[""Ecogenomics of the microbial community in the water column of Lake Biwa (2018-2019)""]",Lake Biwa,0
SRR3184554,PRJNA311382,biogas fermenter metagenome,15,other,40162,,,(unnanotated),""
SRR26496184,PRJNA880762,seawater metagenome,9,other,30239,,,(unnanotated),""
SRR9003145,PRJNA539633,seawater metagenome,16,other,125007,"[""not applicable""]",,(unnanotated),""
SRR25158208,PRJNA983538,soil metagenome,8,other,25530,,,(unnanotated),""
SRR26937425,PRJNA1044412,compost metagenome,16,other,6979,"[""pigmanure""]",,(unnanotated),""
SRR5265135,PRJNA365961,marine metagenome,12,other,26178,"[""not applicable""]",,(unnanotated),""
SRR8382456,PRJNA512384,sediment metagenome,10,other,14102,"[""not applicable""]",,(unnanotated),""
SRR18067302,PRJNA808200,air metagenome,12,other,78050,,,(unnanotated),""
SRR9021706,PRJNA539587,rhizosphere metagenome,10,other,67820,"[""Zea mays""]",,(unnanotated),""
ERR7438491,PRJEB48889,Rinodina peloleuca,14,other,10721,,,(unnanotated),""
SRR5689908,PRJNA375673,rhizosphere metagenome,9,other,52151,"[""not applicable""]",,(unnanotated),""
SRR8144076,PRJNA503328,Cassidulina limbata,11,other,63225,,,(unnanotated),""
ERR3719148,PRJEB35640,lake water metagenome,8,other,42549,,"[""ena-STUDY-BIOLOGY CENTRE ASCR, V.V.I., INSTITUTE OF HYDROBIO-03-12-2019-09:06:06:235-971""]",(unnanotated),""
SRR20707903,PRJNA860652,Equus asinus,12,other,13467,,,(unnanotated),""
SRR22013523,PRJNA892010,compost metagenome,16,other,9945,,,(unnanotated),""
SRR1313734,PRJNA249576,marine metagenome,13,other,51797,,,(unnanotated),""
SRR3954451,PRJNA330082,soil metagenome,10,other,52351,"[""not applicable""]",,(unnanotated),""
SRR5198900,PRJNA362960,wetland metagenome,16,other,135668,,,(unnanotated),""
SRR10769902,PRJNA591725,wastewater metagenome,16,other,19381,"[""anaerobic fermentation tank in farm C""]",,(unnanotated),""
SRR7525739,PRJNA467192,freshwater sediment metagenome,13,other,49121,"[""not applicable""]",,(unnanotated),""
ERR2607521,PRJEB27054,wastewater metagenome,10,other,10340,,,(unnanotated),""
SRR22213191,PRJNA898608,bovine gut metagenome,8,other,7411,"[""Bos taurus indicus""]",,(unnanotated),""
SRR2657520,PRJNA292297,marine sediment metagenome,16,other,70335,,,(unnanotated),""
ERR2683239,PRJEB27621,wastewater metagenome,9,other,16987,,,(unnanotated),""
SRR11306559,PRJNA612576,sediment metagenome,9,other,17291,,,(unnanotated),""
ERR10034883,PRJEB53918,aquaculture metagenome,12,other,46144,,"[""Microbiomes of small-scale aquaculture ponds in Bangladesh""]",(unnanotated),""
SRR12153470,PRJNA449022,mixed culture metagenome,16,other,60394,,,(unnanotated),""
SRR22013522,PRJNA892010,compost metagenome,16,other,12130,,,(unnanotated),""
SRR8925822,PRJNA533495,bioreactor metagenome,15,other,16523,"[""anaerobic digestor""]",,(unnanotated),""
SRR12660003,PRJNA654837,marine sediment metagenome,15,other,60074,"[""not applicable""]",,(unnanotated),""
SRR2636951,PRJNA292297,marine sediment metagenome,16,other,74578,,,(unnanotated),""
SRR10098314,PRJNA563872,bovine metagenome,13,other,16631,"[""Bos taurus""]",,(unnanotated),""
SRR3181157,PRJNA309291,bovine gut metagenome,11,other,11452,"[""Bos taurus""]",,(unnanotated),""
SRR11306566,PRJNA612576,sediment metagenome,9,other,17662,,,(unnanotated),""
SRR094424,PRJNA60251,bovine gut metagenome,8,other,27174,,,(unnanotated),""
SRR8925818,PRJNA533495,bioreactor metagenome,16,other,23096,"[""anaerobic digestor""]",,(unnanotated),""
SRR16630537,PRJNA776090,soil metagenome,9,other,66389,"[""Citrus reticulata""]",,(unnanotated),""
SRR17274346,PRJNA783381,sheep gut metagenome,10,other,10553,"[""sheep122""]",,(unnanotated),""
SRR30303267,PRJNA1122929,marine metagenome,9,other,28254,,,(unnanotated),""
SRR5882757,PRJNA364436,soil metagenome,9,other,33813,"[""not applicable""]",,(unnanotated),""
SRR10098326,PRJNA563872,bovine metagenome,14,other,16787,"[""Bos taurus""]",,(unnanotated),""
ERR10798472,PRJEB59119,wastewater metagenome,16,other,6791,,,(unnanotated),""
SRR5823613,PRJNA393632,soil metagenome,10,other,23827,,,(unnanotated),""
SRR7186541,PRJNA450295,root metagenome,9,other,52041,"[""Setaria italica""]",,(unnanotated),""
SRR6484787,PRJNA404446,landfill metagenome,10,other,27177,,,(unnanotated),""
SRR10360616,PRJNA577476,soil metagenome,8,other,32456,,,(unnanotated),""
SRR22048025,PRJNA894374,sediment metagenome,14,other,20122,,,(unnanotated),""
SRR10143176,PRJNA1007388,wetland metagenome,16,other,99899,,,(unnanotated),""
SRR1706031,PRJNA269993,bovine gut metagenome,16,other,82272,"[""Cow""]",,(unnanotated),""
SRR8497109,PRJNA513416,biofilm metagenome,8,other,17068,"[""not applicable""]",,(unnanotated),""
ERR10034889,PRJEB53918,aquaculture metagenome,13,other,40821,,"[""Microbiomes of small-scale aquaculture ponds in Bangladesh""]",(unnanotated),""
ERR7438314,PRJEB48889,Rinodina peloleuca,16,other,12976,,,(unnanotated),""
SRR2835690,PRJNA299757,plant metagenome,8,other,13094,"[""Halophila ovalis""]",,(unnanotated),""
SRR11730646,PRJNA621351,rhizosphere metagenome,9,other,29327,"[""Populus deltoides""]",,(unnanotated),""
SRR20000433,PRJNA853368,wastewater metagenome,10,other,28449,,,(unnanotated),""
SRR5456965,PRJNA365525,rhizosphere metagenome,13,other,57032,"[""not applicable""]",,(unnanotated),""
SRR18067274,PRJNA808200,air metagenome,15,other,57705,,,(unnanotated),""
SRR30681625,PRJNA1149319,soil metagenome,8,other,25773,"[""natural / free-living""]",,(unnanotated),""
SRR11673986,PRJNA629478,activated sludge metagenome,16,other,52557,,,(unnanotated),""
SRR7094832,PRJNA441480,soil metagenome,13,other,46286,"[""not applicable""]",,(unnanotated),""
SRR17940154,PRJNA804487,marine metagenome,8,other,51791,,,(unnanotated),""
SRR9045849,PRJNA539534,sediment metagenome,16,other,56936,"[""not applicable""]",,(unnanotated),""
SRR7186506,PRJNA450295,root metagenome,11,other,64172,"[""Setaria italica""]",,(unnanotated),""
SRR8879137,PRJNA531776,wetland metagenome,8,other,64083,"[""not applicable""]",,(unnanotated),""
ERR3858141,PRJEB36505,groundwater metagenome,12,other,21739,,,(unnanotated),""
SRR5195145,PRJNA362455,rhizosphere metagenome,11,other,34637,,,(unnanotated),""
SRR3954454,PRJNA330082,soil metagenome,10,other,52096,"[""not applicable""]",,(unnanotated),""
ERR5684053,PRJEB43305,bovine gut metagenome,9,other,10757,,"[""PRJEB43305""]",(unnanotated),""
SRR20217201,PRJNA808857,freshwater sediment metagenome,12,other,44894,,,(unnanotated),""
SRR11343833,PRJNA611818,marine sediment metagenome,12,other,31399,,,(unnanotated),""
SRR27907455,PRJNA1074413,soil metagenome,10,other,32253,"[""soil""]",,(unnanotated),""
SRR9032198,PRJNA539710,soil metagenome,8,other,28903,"[""not applicable""]",,(unnanotated),""
SRR30201827,PRJNA1146790,anaerobic digester metagenome,16,other,13643,"[""Sus scrofa""]",,(unnanotated),""
SRR25991872,PRJNA1013563,sediment metagenome,14,other,35529,,,(unnanotated),""
SRR13304094,PRJNA684647,soil metagenome,16,other,4225,,,(unnanotated),""
SRR18078970,PRJNA808646,marine sediment metagenome,15,other,99069,,,(unnanotated),""
SRR8535427,PRJNA404208,soil metagenome,12,other,79607,"[""not applicable""]",,(unnanotated),""
SRR12681650,PRJNA654315,bovine gut metagenome,16,other,40390,"[""Bos taurus""]",,(unnanotated),""
ERR7569997,PRJEB49115,anaerobic digester metagenome,8,other,34511,,"[""DIGESTOMIC""]",(unnanotated),""
ERR4682402,PRJEB40815,wastewater metagenome,8,other,14633,,,(unnanotated),""
ERR9669492,PRJEB52550,sediment metagenome,16,other,46513,,,(unnanotated),""
ERR2683163,PRJEB27621,wastewater metagenome,9,other,12542,,,(unnanotated),""
SRR9032694,PRJNA539723,soil metagenome,11,other,40652,"[""not applicable""]",,(unnanotated),""
SRR3457760,PRJNA319009,bovine gut metagenome,13,other,20188,"[""Bos taurus""]",,(unnanotated),""
SRR8554076,PRJNA518359,peat metagenome,8,other,16265,"[""not applicable""]",,(unnanotated),""
SRR8925778,PRJNA681092,bioreactor metagenome,12,other,17229,"[""anaerobic digestor""]",,(unnanotated),""
SRR24579380,PRJNA972502,soil metagenome,8,other,26956,,,(unnanotated),""
SRR23595535,PRJNA937903,soil metagenome,9,other,34839,"[""Triticum aestivum""]",,(unnanotated),""
SRR25536079,PRJNA1002562,soil metagenome,11,other,29898,,,(unnanotated),""
SRR24315702,PRJNA961991,sediment metagenome,8,other,12514,"[""not applicable""]",,(unnanotated),""
SRR29699983,PRJNA1131488,sediment metagenome,13,other,19530,,,(unnanotated),""
SRR20707906,PRJNA860652,Equus asinus,9,other,14771,,,(unnanotated),""
SRR1230756,PRJNA242360,marine metagenome,8,other,43173,,,(unnanotated),""
SRR13741621,PRJNA600179,mouse gut metagenome,15,other,13202,"[""Mus musculus""]",,(unnanotated),""
SRR4030065,PRJNA330098,soil metagenome,10,other,21064,"[""not applicable""]",,(unnanotated),""
ERR2683277,PRJEB27621,wastewater metagenome,9,other,14655,,,(unnanotated),""
SRR15377967,PRJNA714922,soil metagenome,10,other,56102,,,(unnanotated),""
SRR15130126,PRJNA746424,soil metagenome,13,other,46998,,,(unnanotated),""
SRR9006655,PRJNA539637,sheep gut metagenome,15,other,71015,"[""Ovis aries""]",,(unnanotated),""
ERR4678636,PRJEB40798,wastewater metagenome,8,other,12791,,,(unnanotated),""
SRR8925809,PRJNA681092,bioreactor metagenome,16,other,24580,"[""anaerobic digestor""]",,(unnanotated),""
SRR26413788,PRJNA1029225,sediment metagenome,8,other,20657,"[""not collected""]",,(unnanotated),""
SRR9037497,PRJNA420682,bovine metagenome,12,other,10111,"[""Bos taurus""]",,(unnanotated),""
SRR26459378,PRJNA1028263,soil metagenome,8,other,11696,,,(unnanotated),""
ERR4682334,PRJEB40815,wastewater metagenome,9,other,17114,,,(unnanotated),""
SRR19430213,PRJNA833462,freshwater sediment metagenome,12,other,24216,,,(unnanotated),""
SRR11172573,PRJNA608274,soil metagenome,11,other,25198,,,(unnanotated),""
SRR18683003,PRJNA521300,marine metagenome,14,other,36002,,,(unnanotated),""
SRR12687952,PRJNA654296,freshwater metagenome,8,other,75342,"[""not applicable""]",,(unnanotated),""
SRR3577362,PRJNA314399,hydrothermal vent metagenome,8,other,34667,,,(unnanotated),""
SRR15400725,PRJNA752974,wastewater metagenome,8,other,13860,"[""not applicable""]",,(unnanotated),""
SRR8925715,PRJNA533495,bioreactor metagenome,16,other,26177,"[""anaerobic digestor""]",,(unnanotated),""
SRR3067147,PRJNA298260,bovine metagenome,9,other,2996,"[""Bos taurus""]",,(unnanotated),""
SRR17049898,PRJNA783651,whole organism metagenome,8,other,12922,"[""Procapra gutturosa""]",,(unnanotated),""
SRR19430210,PRJNA833462,freshwater sediment metagenome,10,other,24815,,,(unnanotated),""
SRR8242853,PRJNA506496,fermentation metagenome,15,other,1284,,,(unnanotated),""
SRR5580700,PRJNA375318,soil metagenome,9,other,29657,"[""not applicable""]",,(unnanotated),""
SRR13618042,PRJNA699174,air metagenome,16,other,2400,"[""not applicable""]",,(unnanotated),""
SRR9866670,PRJNA554776,Lawsonia intracellularis,16,other,27551,"[""Porcine-15""]",,(unnanotated),""
SRR10098321,PRJNA563872,bovine metagenome,10,other,15046,"[""Bos taurus""]",,(unnanotated),""
SRR8925777,PRJNA681092,bioreactor metagenome,13,other,16747,"[""anaerobic digestor""]",,(unnanotated),""
SRR3989296,PRJNA330322,soil metagenome,13,other,56424,"[""not applicable""]",,(unnanotated),""
SRR25194345,PRJNA991164,seawater metagenome,9,other,33917,,,(unnanotated),""
SRR22048039,PRJNA894374,sediment metagenome,11,other,20017,,,(unnanotated),""
SRR10613487,PRJNA486429,air metagenome,10,other,11697,,,(unnanotated),""
SRR9003188,PRJNA539631,seawater metagenome,16,other,66484,"[""not applicable""]",,(unnanotated),""
ERR4183328,PRJEB38557,soil metagenome,11,other,21393,,"[""Helmholtz Young Investigators Group (VH-NG-919), BMBF project CarboPerm (grant no. 03G0836A, 03G0836D) and KoPf (grant no. 03F0764A, 03F0764F)""]",(unnanotated),""
SRR29660189,PRJNA1128034,soil metagenome,13,other,62368,"[""bulk soil""]",,(unnanotated),""
SRR24204752,PRJNA956287,outdoor metagenome,16,other,21538,"[""not applicable""]",,(unnanotated),""
ERR2607437,PRJEB27054,wastewater metagenome,10,other,18015,,,(unnanotated),""
SRR8442993,PRJNA502607,bovine gut metagenome,13,other,72673,"[""Bos taurus""]",,(unnanotated),""
SRR30884386,PRJNA1163957,drinking water metagenome,16,other,14963,"[""Pig""]",,(unnanotated),""
SRR27907449,PRJNA1074413,soil metagenome,11,other,23711,"[""soil""]",,(unnanotated),""
SRR16630605,PRJNA776090,soil metagenome,8,other,36103,"[""Citrus reticulata""]",,(unnanotated),""
SRR17023459,PRJNA779163,bovine gut metagenome,12,other,19226,"[""cattle""]",,(unnanotated),""
SRR14219481,PRJNA721298,aquatic metagenome,11,other,25621,,,(unnanotated),""
SRR12825418,PRJNA668816,sediment metagenome,14,other,33352,,,(unnanotated),""
SRR16915451,PRJNA779554,soil metagenome,11,other,50135,"[""apple orchard soil""]",,(unnanotated),""
SRR15144437,PRJNA746083,estuary metagenome,16,other,120016,,,(unnanotated),""
SRR22388014,PRJNA858913,groundwater metagenome,15,other,32278,,,(unnanotated),""
SRR16915464,PRJNA779554,soil metagenome,16,other,84240,"[""apple orchard soil""]",,(unnanotated),""
SRR24891224,PRJNA981443,Bos taurus,10,other,17905,,,(unnanotated),""
SRR24204746,PRJNA956287,outdoor metagenome,13,other,22509,"[""not applicable""]",,(unnanotated),""
SRR6181342,PRJNA405528,soil metagenome,12,other,59688,"[""not applicable""]",,(unnanotated),""
SRR30884420,PRJNA1163957,drinking water metagenome,12,other,14835,"[""Pig""]",,(unnanotated),""
SRR9036306,PRJNA539168,bovine gut metagenome,13,other,46225,"[""Bos taurus""]",,(unnanotated),""
SRR5195109,PRJNA362455,rhizosphere metagenome,9,other,34852,,,(unnanotated),""
SRR11343823,PRJNA611818,marine sediment metagenome,12,other,30077,,,(unnanotated),""
SRR26457896,PRJNA1029105,soil metagenome,13,other,56506,"[""not applicable""]",,(unnanotated),""
SRR29660195,PRJNA1128034,rhizosphere metagenome,12,other,71302,"[""Triticum aestivum cv. Red Lammas""]",,(unnanotated),""
SRR6056557,PRJNA405464,rhizosphere metagenome,11,other,57245,"[""not applicable""]",,(unnanotated),""
SRR10393136,PRJNA571625,bovine gut metagenome,16,other,74412,"[""Bos taurus""]",,(unnanotated),""
SRR27710297,PRJNA1065278,wastewater metagenome,12,other,41225,"[""Wastewater""]",,(unnanotated),""
SRR5451564,PRJNA365488,rhizosphere metagenome,14,other,61296,"[""not applicable""]",,(unnanotated),""
SRR12447096,PRJNA656110,wastewater metagenome,9,other,6775,,,(unnanotated),""
SRR16915459,PRJNA779554,soil metagenome,13,other,69350,"[""apple orchard soil""]",,(unnanotated),""
SRR11845627,PRJNA634981,wastewater metagenome,15,other,10102,"[""missing""]",,(unnanotated),""
SRR3499603,PRJNA319008,bioreactor metagenome,9,other,4709,,,(unnanotated),""
SRR18644982,PRJNA823681,plant metagenome,8,other,14521,"[""Sonneratia alba""]",,(unnanotated),""
SRR11842680,PRJNA620644,soil metagenome,9,other,70215,"[""not applicable""]",,(unnanotated),""
SRR10608982,PRJNA594186,activated sludge metagenome,16,other,22192,,,(unnanotated),""
SRR5579825,PRJNA375600,marine sediment metagenome,11,other,25533,"[""not applicable""]",,(unnanotated),""
SRR15377941,PRJNA714922,soil metagenome,13,other,66948,,,(unnanotated),""
ERR7438487,PRJEB48889,Rinodina peloleuca,12,other,10762,,,(unnanotated),""
SRR18654545,PRJNA824007,compost metagenome,8,other,8207,"[""swine""]",,(unnanotated),""
SRR13433995,PRJNA691977,bovine gut metagenome,11,other,24867,"[""Bos taurus""]",,(unnanotated),""
SRR15377926,PRJNA714922,soil metagenome,10,other,54790,,,(unnanotated),""
SRR26496213,PRJNA880762,seawater metagenome,9,other,29969,,,(unnanotated),""
SRR23318455,PRJNA611818,marine sediment metagenome,14,other,32029,,,(unnanotated),""
SRR6956985,PRJNA444377,rhizosphere metagenome,10,other,56243,"[""Zea mays""]",,(unnanotated),""
SRR8925808,PRJNA681092,bioreactor metagenome,16,other,16552,"[""anaerobic digestor""]",,(unnanotated),""
SRR22048059,PRJNA894374,sediment metagenome,13,other,21071,,,(unnanotated),""
ERR1700722,PRJEB8420,soil metagenome,15,other,54045,,"[""Metagenomic and metatranscriptomic analysis of forest soil communities across North America""]",(unnanotated),""
SRR13892601,PRJNA707313,cold seep metagenome,16,other,67735,,,(unnanotated),""
SRR9068963,PRJNA541421,aquatic metagenome,8,other,15065,,,(unnanotated),""
SRR6958474,PRJNA444978,soil metagenome,14,other,52452,"[""not applicable""]",,(unnanotated),""
SRR18517318,PRJNA808759,reproductive system metagenome,12,other,8408,"[""Cattle""]",,(unnanotated),""
SRR6425774,PRJNA427653,sheep metagenome,10,other,6704,"[""Sheep""]",,(unnanotated),""
SRR7131305,PRJNA439811,marine metagenome,8,other,33330,"[""not applicable""]",,(unnanotated),""
SRR5256705,PRJNA371480,money metagenome,14,other,54974,,,(unnanotated),""
SRR7133492,PRJNA439826,sediment metagenome,14,other,27799,"[""not applicable""]",,(unnanotated),""
ERR10034899,PRJEB53918,aquaculture metagenome,8,other,34590,,"[""Microbiomes of small-scale aquaculture ponds in Bangladesh""]",(unnanotated),""
SRR26937443,PRJNA1044412,compost metagenome,15,other,6452,"[""pigmanure""]",,(unnanotated),""
SRR20336953,PRJNA768333,African swine fever virus,16,other,39766,"[""Sus scrofa""]",,(unnanotated),""
SRR13165000,PRJNA677197,marine sediment metagenome,16,other,37491,"[""not applicable""]",,(unnanotated),""
SRR1926131,PRJNA278090,root metagenome,14,other,44752,"[""Sugarcane""]",,(unnanotated),""
SRR22315508,PRJNA900590,landfill metagenome,16,other,47927,,,(unnanotated),""
SRR8745594,PRJNA527324,air metagenome,16,other,4355,"[""not applicable""]",,(unnanotated),""
SRR3972132,PRJNA330110,soil metagenome,16,other,48829,,,(unnanotated),""
SRR8503606,PRJNA352798,marine metagenome,8,other,26631,,,(unnanotated),""
SRR24887409,PRJNA972038,soil metagenome,8,other,40003,"[""not applicable""]",,(unnanotated),""
SRR26459375,PRJNA1028263,soil metagenome,10,other,16258,,,(unnanotated),""
SRR20314591,PRJNA855638,seawater metagenome,14,other,43774,,,(unnanotated),""
SRR8062319,PRJNA326482,marine metagenome,10,other,38841,,,(unnanotated),""
SRR6479061,PRJNA368391,marine sediment metagenome,13,other,36482,,,(unnanotated),""
SRR22388333,PRJNA858913,groundwater metagenome,11,other,39046,,,(unnanotated),""
SRR3954471,PRJNA330069,soil metagenome,10,other,53042,"[""not applicable""]",,(unnanotated),""
SRR17907852,PRJNA803959,activated sludge metagenome,16,other,67282,,,(unnanotated),""
SRR12081293,PRJNA641579,sheep gut metagenome,8,other,22715,"[""sheep""]",,(unnanotated),""
SRR6056502,PRJNA405457,rhizosphere metagenome,14,other,47500,"[""not applicable""]",,(unnanotated),""
SRR12682530,PRJNA654215,sediment metagenome,9,other,50472,"[""not applicable""]",,(unnanotated),""
SRR15927527,PRJNA763043,estuary metagenome,15,other,138688,"[""missing""]",,(unnanotated),""
SRR6963308,PRJNA444011,sediment metagenome,8,other,25790,"[""not applicable""]",,(unnanotated),""
SRR12358725,PRJNA623111,marine sediment metagenome,11,other,30098,,,(unnanotated),""
SRR10098296,PRJNA563872,bovine metagenome,15,other,16025,"[""Bos taurus""]",,(unnanotated),""
SRR10613565,PRJNA486429,air metagenome,13,other,31880,,,(unnanotated),""
ERR4678688,PRJEB40798,wastewater metagenome,9,other,8999,,,(unnanotated),""
SRR22048047,PRJNA894374,sediment metagenome,11,other,20120,,,(unnanotated),""
SRR11482348,PRJNA623064,dust metagenome,16,other,13136,"[""Sus scrofa""]",,(unnanotated),""
SRR11832402,PRJNA620478,marine sediment metagenome,14,other,44756,"[""not applicable""]",,(unnanotated),""
SRR7094548,PRJNA441478,soil metagenome,13,other,49119,"[""not applicable""]",,(unnanotated),""
SRR18078965,PRJNA808646,marine sediment metagenome,16,other,133479,,,(unnanotated),""
SRR3067144,PRJNA298260,bovine metagenome,8,other,3528,"[""Bos taurus""]",,(unnanotated),""
SRR26496228,PRJNA880762,seawater metagenome,8,other,32588,,,(unnanotated),""
SRR5585385,PRJNA375665,rhizosphere metagenome,13,other,68543,"[""not applicable""]",,(unnanotated),""
SRR7976139,PRJNA444977,soil metagenome,14,other,59115,"[""not applicable""]",,(unnanotated),""
ERR2683173,PRJEB27621,wastewater metagenome,10,other,14487,,,(unnanotated),""
SRR22048038,PRJNA894374,sediment metagenome,9,other,20395,,,(unnanotated),""
SRR8062345,PRJNA326482,marine metagenome,14,other,24745,,,(unnanotated),""
SRR7094830,PRJNA441484,soil metagenome,13,other,51507,"[""not applicable""]",,(unnanotated),""
SRR13304107,PRJNA684647,soil metagenome,12,other,11110,,,(unnanotated),""
SRR6266581,PRJNA406077,soil metagenome,9,other,34269,"[""not applicable""]",,(unnanotated),""
ERR3801472,PRJEB33080,bovine gut metagenome,9,other,13160,,,(unnanotated),""
SRR22048030,PRJNA894374,sediment metagenome,13,other,20588,,,(unnanotated),""
SRR11482330,PRJNA623064,dust metagenome,16,other,14321,"[""Sus scrofa""]",,(unnanotated),""
SRR16630599,PRJNA776090,soil metagenome,9,other,33560,"[""Citrus reticulata""]",,(unnanotated),""
ERR594298,PRJEB1788,marine metagenome,10,other,33259,,"[""Tara Oceans expedition (2009-2013)""]",(unnanotated),""
SRR11730287,PRJNA621249,rhizosphere metagenome,8,other,23973,"[""Populus deltoides""]",,(unnanotated),""
SRR8554433,PRJNA518322,marine sediment metagenome,10,other,35019,"[""not applicable""]",,(unnanotated),""
SRR8062325,PRJNA326482,marine metagenome,10,other,23480,,,(unnanotated),""
SRR27710298,PRJNA1065278,wastewater metagenome,16,other,42210,"[""Sludge""]",,(unnanotated),""
