acc,bioproject,organism,count,broad_cat,mbases,host,project_name,manual_annot,is_pig_assoc
SRR5452232,PRJNA365512,rhizosphere metagenome,11,other,40146,"[""not applicable""]",,(unnanotated),""
SRR9032510,PRJNA539718,soil metagenome,10,other,33762,"[""not applicable""]",,(unnanotated),""
SRR9008756,PRJNA539662,bovine gut metagenome,13,other,66696,"[""Bos taurus""]",,(unnanotated),""
SRR10360613,PRJNA577476,soil metagenome,8,other,33431,,,(unnanotated),""
SRR26457782,PRJNA1029086,soil metagenome,9,other,75257,"[""not applicable""]",,(unnanotated),""
SRR8497108,PRJNA513416,biofilm metagenome,9,other,19461,"[""not applicable""]",,(unnanotated),""
SRR29884474,PRJNA1137330,peat metagenome,9,other,43277,,,(unnanotated),""
SRR11673973,PRJNA629478,activated sludge metagenome,13,other,22535,,,(unnanotated),""
ERR10034880,PRJEB53918,aquaculture metagenome,14,other,49999,,"[""Microbiomes of small-scale aquaculture ponds in Bangladesh""]",(unnanotated),""
SRR12825433,PRJNA668816,sediment metagenome,11,other,26796,,,(unnanotated),""
SRR17714295,PRJNA799789,bovine gut metagenome,14,other,15046,"[""Bos taurus""]",,(unnanotated),""
SRR19175044,PRJNA610704,bog metagenome,9,other,16027,,,(unnanotated),""
SRR23318457,PRJNA611818,marine sediment metagenome,15,other,36618,,,(unnanotated),""
SRR29699980,PRJNA1131488,sediment metagenome,12,other,29553,,,(unnanotated),""
SRR11703788,PRJNA621514,wetland metagenome,11,other,21045,"[""not applicable""]",,(unnanotated),""
SRR16915471,PRJNA779554,soil metagenome,12,other,61825,"[""apple orchard soil""]",,(unnanotated),""
SRR30951393,PRJNA1158755,Nonionella stella,14,other,99687,"[""not applicable""]",,(unnanotated),""
SRR7164731,PRJNA450884,marine metagenome,8,other,37509,"[""not applicable""]",,(unnanotated),""
SRR27204718,PRJNA1052411,seawater metagenome,12,other,30445,,,(unnanotated),""
SRR17418349,PRJNA792486,goat gut metagenome,14,other,30854,"[""Black goat""]",,(unnanotated),""
SRR7145728,PRJNA470703,mixed sample,12,other,45387,"[""HeLa""]",,(unnanotated),""
SRR28326293,PRJNA1087008,marine metagenome,13,other,51616,,,(unnanotated),""
SRR7179791,PRJNA469109,seawater metagenome,9,other,23905,"[""not applicable""]",,(unnanotated),""
SRR11826813,PRJNA621295,seawater metagenome,13,other,36411,"[""not applicable""]",,(unnanotated),""
SRR15988950,PRJNA721962,Candidatus Heimdallarchaeum endolithica,10,other,25476,,,(unnanotated),""
SRR24882553,PRJNA980404,Bos taurus,9,other,13404,,,(unnanotated),""
SRR23595536,PRJNA937903,soil metagenome,9,other,32694,"[""Triticum aestivum""]",,(unnanotated),""
SRR10393135,PRJNA571625,bovine gut metagenome,16,other,45514,"[""Bos taurus""]",,(unnanotated),""
SRR15532680,PRJNA756367,wetland metagenome,16,other,130064,,,(unnanotated),""
SRR13433989,PRJNA691977,bovine gut metagenome,13,other,32673,"[""Bos taurus""]",,(unnanotated),""
SRR8542065,PRJNA518428,landfill metagenome,13,other,39239,"[""not applicable""]",,(unnanotated),""
SRR5506998,PRJNA375563,rhizosphere metagenome,15,other,64784,"[""not applicable""]",,(unnanotated),""
SRR31239408,PRJNA1171364,soil metagenome,9,other,20686,,,(unnanotated),""
SRR8451819,PRJNA203445,food metagenome,14,other,71119,"[""Chicken""]",,(unnanotated),""
ERR4183324,PRJEB38557,soil metagenome,9,other,21523,,"[""Helmholtz Young Investigators Group (VH-NG-919), BMBF project CarboPerm (grant no. 03G0836A, 03G0836D) and KoPf (grant no. 03F0764A, 03F0764F)""]",(unnanotated),""
SRR11849544,PRJNA620364,sediment metagenome,8,other,45806,"[""not applicable""]",,(unnanotated),""
SRR8925790,PRJNA681092,bioreactor metagenome,16,other,22464,"[""anaerobic digestor""]",,(unnanotated),""
SRR20336969,PRJNA858011,seawater metagenome,13,other,43605,"[""not applicable""]",,(unnanotated),""
SRR8555691,PRJNA518512,peat metagenome,12,other,44430,"[""not applicable""]",,(unnanotated),""
SRR8475662,PRJNA502774,peat metagenome,9,other,17339,"[""not applicable""]",,(unnanotated),""
