organism,is_pig_assoc,acc,bioproject,count,broad_cat,mbases,host,project_name
bovine gut metagenome,1,SRR5371477,PRJNA356291,16,other,52421,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3220205,PRJEB31266,11,other,19606,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3224592,PRJEB31266,8,other,39663,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3224570,PRJEB31266,11,other,29208,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR3181109,PRJNA309291,12,other,12535,"[""Bos taurus""]",
Bos taurus,1,ERR2019377,PRJEB21508,12,other,27673,,"[""Ruminomics EU FP7""]"
bovine gut metagenome,1,SRR3457761,PRJNA319009,14,other,25699,"[""Bos taurus""]",
bovine gut metagenome,1,SRR21118913,PRJNA869873,8,other,16858,"[""dairy cattle""]",
bovine gut metagenome,1,SRR17996668,PRJNA806344,14,other,15046,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3220203,PRJEB31266,8,other,18426,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR13343633,PRJNA686811,10,other,13278,"[""cow""]",
goat gut metagenome,1,SRR17418352,PRJNA792486,15,other,32192,"[""Black goat""]",
bovine metagenome,1,SRR10098298,PRJNA563872,12,other,10804,"[""Bos taurus""]",
bovine gut metagenome,1,SRR19053354,PRJNA834564,8,other,10566,"[""Holstein cows""]",
Equus asinus,1,SRR28806317,PRJNA1103961,13,other,12376,,
bovine metagenome,1,SRR3067136,PRJNA298260,9,other,3115,"[""Bos taurus""]",
bovine gut metagenome,1,SRR5371491,PRJNA356291,15,other,14340,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3801472,PRJEB33080,9,other,13160,,
bovine gut metagenome,1,ERR3275109,PRJEB31266,10,other,39560,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR5371429,PRJNA356291,15,other,44588,"[""Bos taurus""]",
mouse gut metagenome,0,SRR9052922,PRJNA541820,13,other,42449,"[""C57BL/6""]",
Bos taurus,1,ERR2019394,PRJEB21508,10,other,27664,,"[""Ruminomics EU FP7""]"
bovine gut metagenome,1,SRR3181113,PRJNA309291,11,other,13482,"[""Bos taurus""]",
Bos taurus,1,ERR2019409,PRJEB21508,8,other,13916,,"[""Ruminomics EU FP7""]"
bovine gut metagenome,1,ERR3220197,PRJEB31266,9,other,24498,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3801475,PRJEB33080,10,other,12273,,
Bos taurus,1,SRR24882558,PRJNA980404,9,other,14393,,
termite gut metagenome,0,SRR14710897,PRJNA732531,8,other,35168,"[""Porotermes quadricollis""]",
Equus asinus asinus,1,ERR10048401,PRJEB52849,16,other,113898,,
bovine metagenome,1,SRR17335708,PRJNA785940,10,other,8146,"[""not applicable""]",
bovine gut metagenome,1,SRR5371509,PRJNA356291,15,other,13049,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3224585,PRJEB31266,13,other,41318,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3801461,PRJEB33080,12,other,19520,,
sheep gut metagenome,1,SRR17274341,PRJNA783381,10,other,10665,"[""sheep127""]",
goat gut metagenome,1,SRR17418360,PRJNA792486,9,other,30110,"[""Black goat""]",
Equus asinus asinus,1,ERR10048364,PRJEB52849,15,other,94205,,
bovine gut metagenome,1,ERR3224574,PRJEB31266,10,other,34503,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR5371459,PRJNA356291,16,other,33777,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3201392,PRJEB31266,11,other,16336,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine metagenome,1,SRR10098297,PRJNA563872,14,other,14402,"[""Bos taurus""]",
invertebrate metagenome,0,SRR13325286,PRJNA687334,13,other,37357,"[""wild grass soils""]",
Bos taurus,1,ERR2019383,PRJEB21508,12,other,21839,,"[""Ruminomics EU FP7""]"
bovine gut metagenome,1,SRR29517013,PRJNA1126025,8,other,14983,"[""Bos taurus""]",
bovine metagenome,1,SRR6512895,PRJNA420682,13,other,3866,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3275132,PRJEB31266,11,other,38180,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine metagenome,1,SRR22560183,PRJNA909573,10,other,13540,"[""bovine""]",
bovine gut metagenome,1,SRR5371481,PRJNA356291,15,other,12566,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3201413,PRJEB31266,10,other,16182,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR5371449,PRJNA356291,16,other,24894,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3201419,PRJEB31266,12,other,22057,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,ERR3201403,PRJEB31266,9,other,20365,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
termite gut metagenome,0,SRR5215205,PRJNA365053,16,other,53137,"[""not applicable""]",
Bos taurus,1,ERR2019358,PRJEB21508,13,other,20710,,"[""Ruminomics EU FP7""]"
mouse gut metagenome,0,SRR12358616,PRJNA649861,13,other,33404,"[""BALB/c""]",
bovine metagenome,1,SRR3053146,PRJNA292471,8,other,2581,"[""Bos taurus""]",
bovine metagenome,1,SRR3067146,PRJNA298260,9,other,4125,"[""Bos taurus""]",
bovine metagenome,1,SRR3053206,PRJNA292471,10,other,4928,"[""Bos taurus""]",
bovine metagenome,1,SRR10098313,PRJNA563872,13,other,16602,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3801463,PRJEB33080,11,other,19887,,
Equus asinus asinus,1,ERR10048367,PRJEB52849,14,other,109662,,
bovine gut metagenome,1,SRR5371493,PRJNA356291,16,other,49150,"[""Bos taurus""]",
mouse gut metagenome,0,SRR13741611,PRJNA600179,13,other,14459,"[""Mus musculus""]",
bovine gut metagenome,1,SRR3181119,PRJNA309291,10,other,12490,"[""Bos taurus""]",
invertebrate metagenome,0,SRR13325278,PRJNA687334,8,other,35723,"[""wild plants""]",
bovine metagenome,1,SRR3053215,PRJNA292471,8,other,1736,"[""Bos taurus""]",
bovine gut metagenome,1,SRR5371431,PRJNA356291,15,other,22004,"[""Bos taurus""]",
mouse gut metagenome,0,SRR12398549,PRJNA655594,16,other,60705,"[""C57BL/6J""]",
bovine metagenome,1,SRR6512892,PRJNA420682,13,other,5873,"[""Bos taurus""]",
bovine gut metagenome,1,SRR5371497,PRJNA356291,16,other,56257,"[""Bos taurus""]",
