organism,is_pig_assoc,acc,bioproject,count,broad_cat,mbases,host,project_name
bovine gut metagenome,1,SRR3181156,PRJNA309291,10,other,13033,"[""Bos taurus""]",
bovine gut metagenome,1,SRR26824595,PRJNA1040231,13,other,28030,"[""Bos taurus""]",
bovine metagenome,1,SRR10098300,PRJNA563872,11,other,9445,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3220210,PRJEB31266,9,other,19499,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
bovine gut metagenome,1,SRR24260329,PRJNA956982,10,other,10870,"[""Bos taurus""]",
bovine gut metagenome,1,SRR10393135,PRJNA571625,16,other,45514,"[""Bos taurus""]",
goat gut metagenome,1,SRR17418341,PRJNA792486,10,other,30332,"[""Black goat""]",
bovine gut metagenome,1,SRR22213155,PRJNA898608,9,other,8349,"[""Bos taurus indicus""]",
bovine metagenome,1,SRR3053176,PRJNA292471,13,other,5894,"[""Bos taurus""]",
bovine gut metagenome,1,SRR3181163,PRJNA309291,10,other,14032,"[""Bos taurus""]",
bovine gut metagenome,1,ERR3220185,PRJEB31266,10,other,21117,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
mouse gut metagenome,0,SRR9052927,PRJNA541820,15,other,44567,"[""C57BL/6""]",
sheep gut metagenome,1,SRR17274353,PRJNA783381,9,other,9785,"[""sheep116""]",
bovine gut metagenome,1,SRR22213175,PRJNA898608,8,other,9047,"[""Bos taurus indicus""]",
Bos taurus,1,ERR2019405,PRJEB21508,10,other,15978,,"[""Ruminomics EU FP7""]"
sheep gut metagenome,1,SRR17274343,PRJNA783381,10,other,12385,"[""sheep125""]",
bovine gut metagenome,1,ERR3801459,PRJEB33080,12,other,18908,,
bovine gut metagenome,1,SRR28378878,PRJNA1088235,12,other,13899,"[""Cattle""]",
bovine gut metagenome,1,SRR13433989,PRJNA691977,13,other,32673,"[""Bos taurus""]",
mouse gut metagenome,0,SRR25119187,PRJNA348350,10,other,79713,"[""Mus musculus""]",
mouse gut metagenome,0,SRR9052924,PRJNA541820,15,other,46038,"[""C57BL/6""]",
bovine gut metagenome,1,ERR3275096,PRJEB31266,14,other,39292,,"[""Metagenomic sequencing of the rumen of 240 cattle from Scotland""]"
sheep gut metagenome,1,SRR17274344,PRJNA783381,11,other,11919,"[""sheep124""]",
Bos taurus,1,ERR2019357,PRJEB21508,9,other,29105,,"[""Ruminomics EU FP7""]"
